0,8	0,67	0,44	60,87	31,65	9,79	16,19	13,28	39,69	24,3	10,51	15,58	8,21	0,78	115,62	17,15	24,49	18,85	2,02	75,63	2,93	4,7	3,9	4,8
0,99	0,76	0,32	47,34	24,9	10,53	10,56	8,66	19,1	19,1	13,2	14,98	7,75	0,59	43,04	75,31	7,29	15,22	2,34	13,63	1,74	4,7	3,9	4,8
1,09	0,48	0,39	25,56	11,33	23,65	28,99	21,49	12,35	2,52	1,68	12,19	5,84	3,47	11,95	31,12	97,03	25,92	2,42	22,7	0,47	4,7	3,9	4,8
2,13	1,11	0,28	52,66	26,42	6,64	9,29	6,14	18,52	8,45	4,98	11,97	5,83	1,17	6,28	46,97	8,14	15,33	1,76	49,47	0,71	4,7	3,9	4,8
2,87	1,4	0,39	40,65	24,68	11,5	14,02	11,36	42,66	15,58	9,02	15,71	9,56	1,06	9,89	11,52	9,28	13,73	2,09	18,53	1,18	4,7	3,9	4,8
1,49	0,76	0,16	14,18	5,95	65,85	73,77	64,69	29,97	19,05	13,25	42,1	16,65	1,26	3,99	41,16	5,18	16,29	3,5	18,29	2,16	4,7	3,9	4,8
1,37	0,89	0,36	53,2	20,39	33,51	14,77	12,91	41,91	16,36	29,73	81,28	32,06	1,08	5,26	62,89	5,54	13,87	9,37	32,44	1,6	4,7	3,9	4,8
1,41	0,84	0,2	44,55	20,64	17,2	18,87	16,55	32,75	14,3	11,73	26,04	12,03	1,03	6,35	45,77	6,07	14,04	3,8	22,3	1,36	4,7	3,9	4,8
1,51	1,01	0,36	52,98	25,91	11,09	13,77	11,02	36,28	13,57	9,15	17,04	8,42	0,92	6,62	32,96	6,71	15,69	3,28	23,73	1,41	4,7	3,9	4,8
1,76	0,99	0,09	27,28	15,23	14,9	18,14	14,6	22,81	11,37	7,74	18,54	9,99	1,29	6,76	34,05	6,44	15,47	4,753	14,61	1,19	4,7	3,9	4,8
